iter	RMSE
0	0.2084061437
1	0.2074505635
2	0.2066378285
3	0.2055419593
4	0.2045565857
5	0.2034775185
6	0.2026432036
7	0.201536357
8	0.2008172971
9	0.2000254708
10	0.1991921916
11	0.1981686436
12	0.1975073246
13	0.1966928554
14	0.1960815797
15	0.1956707076
16	0.194967922
17	0.1941841605
18	0.1933499831
19	0.1925452715
20	0.1921095591
21	0.1916031679
22	0.1906562785
23	0.1894342484
24	0.1890042224
25	0.1882798438
26	0.1879232453
27	0.1873810149
28	0.1869040498
29	0.1865019779
30	0.1859224729
31	0.1854108078
32	0.1847433486
33	0.1841272354
34	0.1831474595
35	0.1822376795
36	0.1817012622
37	0.1813892676
38	0.1808521275
39	0.1801248932
40	0.1799887677
41	0.179587064
42	0.178816712
43	0.1786696959
44	0.1780364204
45	0.1775871189
46	0.1772084047
47	0.1767006066
48	0.1758262686
49	0.1750559005
50	0.1746223292
51	0.1741623578
52	0.1736548405
53	0.1730891637
54	0.1725379564
55	0.1718988707
56	0.1713990391
57	0.1709063173
58	0.1703939758
59	0.1698960585
60	0.1692171137
61	0.1688563301
62	0.1684156722
63	0.1675269718
64	0.1672640845
65	0.1668314841
66	0.1665615245
67	0.1658439385
68	0.1650827277
69	0.1643064684
70	0.1638153313
71	0.1630213043
72	0.1625715704
73	0.1618091695
74	0.1613388941
75	0.160633203
76	0.1603572215
77	0.1597405809
78	0.1588051044
79	0.1582267601
80	0.1578472907
81	0.1567908001
82	0.1562825057
83	0.1551875752
84	0.1546741029
85	0.1536696461
86	0.1531471561
87	0.1528688862
88	0.1526757177
89	0.1522683983
90	0.1517554495
91	0.1509190353
92	0.1506133187
93	0.1496472939
94	0.1495372233
95	0.1492582451
96	0.1488151221
97	0.1479066032
98	0.1472169642
99	0.1465279145
100	0.1460120685
101	0.1455467299
102	0.1451651182
103	0.1447566099
104	0.1442172134
105	0.1435520834
106	0.1433825902
107	0.1428099616
108	0.1424716531
109	0.1417881421
110	0.1409732348
111	0.1403944683
112	0.1400549451
113	0.1397908304
114	0.1395727063
115	0.1391838657
116	0.138920892
117	0.1384784209
118	0.1382025605
119	0.1379445913
120	0.1378235667
121	0.1375350534
122	0.137443883
123	0.1373560497
124	0.1372872363
125	0.1369261735
126	0.1365683244
127	0.1362953066
128	0.1360985869
129	0.1356958409
130	0.135344611
131	0.134953573
132	0.1340495227
133	0.133638336
134	0.1329793619
135	0.1325520573
136	0.1319998282
137	0.1315930592
138	0.1310689824
139	0.1307970479
140	0.1304368624
141	0.1298649207
142	0.1295851682
143	0.1293434234
144	0.1286909441
145	0.1284342935
146	0.1280560597
147	0.127601986
148	0.1274129076
149	0.1269714153
150	0.126561996
151	0.1261527401
152	0.1259259482
153	0.1257526218
154	0.1256320168
155	0.1254325071
156	0.1252090133
157	0.1249261804
158	0.1245280897
159	0.1243916987
160	0.1242011698
161	0.1235844591
162	0.1234469519
163	0.1230388035
164	0.1228302962
165	0.1225908227
166	0.1224529083
167	0.1220868485
168	0.1216989158
169	0.1211323024
170	0.1208391212
171	0.1205461959
172	0.1202997834
173	0.1195831945
174	0.1195120183
175	0.119025014
176	0.1186705494
177	0.1184905201
178	0.1180257637
179	0.1176630164
180	0.117353241
181	0.117192987
182	0.1170626739
183	0.1168932852
184	0.1165144628
185	0.1160688928
186	0.1158703727
187	0.1153952457
188	0.115268766
189	0.1147105663
190	0.1142100484
191	0.1136245419
192	0.1131607505
193	0.1125457092
194	0.1122458302
195	0.1118821221
196	0.1116212402
197	0.1112646476
198	0.1111001805
199	0.1107025457
200	0.1103501347
201	0.110201008
202	0.1100428312
203	0.1097818261
204	0.1096632138
205	0.1095183975
206	0.1094031641
207	0.109066343
208	0.1089573821
209	0.1087396658
210	0.1084606616
211	0.1080108071
212	0.1075646654
213	0.1072508436
214	0.1069954177
215	0.1069171566
216	0.106584109
217	0.1061472215
218	0.1060519263
219	0.105840153
220	0.1057688609
221	0.1055618051
222	0.1053246141
223	0.1049928106
224	0.1047239282
225	0.1045486727
226	0.1043854668
227	0.1042245753
228	0.1041116404
229	0.1040110356
230	0.103598473
231	0.1033856359
232	0.1032282137
233	0.1031514015
234	0.1028327217
235	0.1025422268
236	0.1023570848
237	0.1021945073
238	0.1018725222
239	0.1016061545
240	0.1011078881
241	0.1007408415
242	0.1004089096
243	0.1001984765
244	0.09994378937
245	0.09958984254
246	0.09936601796
247	0.09913275542
248	0.09898399674
249	0.09879037643
250	0.0984351053
251	0.0982860128
252	0.09824964843
253	0.09815132107
254	0.09806613353
255	0.0980019468
256	0.09757075808
257	0.09719034665
258	0.09679371624
259	0.09657323036
260	0.09631421652
261	0.09620012085
262	0.09594346375
263	0.09579133157
264	0.0957129826
265	0.09544947295
266	0.0952322909
267	0.09511211985
268	0.094941177
269	0.0947386101
270	0.09450957849
271	0.0943437671
272	0.09421261655
273	0.0940881913
274	0.09385988615
275	0.09361715179
276	0.09353502646
277	0.0933855403
278	0.09304621819
279	0.09276244509
280	0.09256180081
281	0.0924162213
282	0.09226935392
283	0.09218897896
284	0.09196343531
285	0.09164940784
286	0.09148001216
287	0.09110743156
288	0.0908731822
289	0.09051833404
290	0.09044718526
291	0.09036622999
292	0.09003665977
293	0.08983503216
294	0.08957727602
295	0.08943329889
296	0.08926802674
297	0.08912453929
298	0.08898419348
299	0.08879746908
300	0.08840981112
301	0.08828025011
302	0.08807332091
303	0.08775766362
304	0.08770854393
305	0.08763984426
306	0.0874385063
307	0.0871569071
308	0.08689490951
309	0.08674193241
310	0.08664501761
311	0.08630406124
312	0.08615893791
313	0.08603164128
314	0.08591335994
315	0.08572563882
316	0.08557629618
317	0.08543343704
318	0.08538157897
319	0.08522898052
320	0.08495557788
321	0.08487038055
322	0.08465604695
323	0.08459361746
324	0.08446660388
325	0.08419957279
326	0.08391203778
327	0.08381970333
328	0.08371878752
329	0.0835512827
330	0.08334972192
331	0.08322107535
332	0.08316367786
333	0.08293514384
334	0.08284995755
335	0.08278091342
336	0.08272638254
337	0.08265215289
338	0.08261536622
339	0.08248445017
340	0.08230948405
341	0.08214240157
342	0.08206800321
343	0.08202972136
344	0.08195608988
345	0.08184899627
346	0.08167223622
347	0.08153071571
348	0.08136082215
349	0.08115260986
350	0.08092324884
351	0.08088428908
352	0.08070933612
353	0.08055955678
354	0.08024073435
355	0.08009814549
356	0.08004152108
357	0.0798488607
358	0.07974412585
359	0.07956590918
360	0.07949306028
361	0.07935300539
362	0.07898435752
363	0.0789063972
364	0.07875930339
365	0.07866094403
366	0.07852083539
367	0.07838843686
368	0.07818614357
369	0.07800748244
370	0.07781844366
371	0.07777843701
372	0.07767521005
373	0.07750750705
374	0.07723163322
375	0.07702740577
376	0.07687542796
377	0.07673414604
378	0.0766762423
379	0.07666306382
380	0.07651256752
381	0.07642738077
382	0.07626170572
383	0.07620269551
384	0.07602125282
385	0.0759734786
386	0.07593270087
387	0.07579461227
388	0.07568126574
389	0.07544342767
390	0.07536494603
391	0.07534487613
392	0.07525601487
393	0.07506444197
394	0.07497036063
395	0.07469218486
396	0.07457179481
397	0.0744689654
398	0.07432115215
399	0.07408400056
400	0.07404934848
401	0.07400407737
402	0.07388913425
403	0.07386409179
404	0.07357967798
405	0.07344965864
406	0.07330397395
407	0.0731899428
408	0.07314565132
409	0.07301882125
410	0.07293728268
411	0.07286914897
412	0.07280523937
413	0.07268298695
414	0.07244069292
415	0.07223969594
416	0.07210952206
417	0.07194545301
418	0.07179482
419	0.07176962344
420	0.07165549773
421	0.07153472496
422	0.07132952406
423	0.07108270788
424	0.07105954133
425	0.07090226934
426	0.07064999304
427	0.07049723254
428	0.0704312809
429	0.07031548485
430	0.0702361816
431	0.07011810946
432	0.06992296033
433	0.06973786386
434	0.06962650949
435	0.06953962072
436	0.0694518435
437	0.06940848877
438	0.06930449962
439	0.0690799811
440	0.06898184784
441	0.06887345485
442	0.06884504289
443	0.0687876601
444	0.06859277489
445	0.06841435331
446	0.06821952879
447	0.06814986425
448	0.06810052984
449	0.06794952549
450	0.06774900775
451	0.06757042261
452	0.06727903718
453	0.06717400863
454	0.0670967037
455	0.06680813523
456	0.06668217309
457	0.06657135055
458	0.06647728552
459	0.06620387631
460	0.06604378393
461	0.06587716649
462	0.06564526443
463	0.06561768848
464	0.06548486598
465	0.06535254678
466	0.06507371606
467	0.06498140694
468	0.06488895794
469	0.06476217411
470	0.06469735448
471	0.06462394988
472	0.06445512826
473	0.06431513796
474	0.06425852212
475	0.06413652351
476	0.06407818779
477	0.0640215129
478	0.06398410798
479	0.06391111326
480	0.06387636329
481	0.06378183069
482	0.06364935568
483	0.06359930499
484	0.06348653061
485	0.06342053943
486	0.06328225385
487	0.06320373509
488	0.06303325118
489	0.06301241962
490	0.06282823758
491	0.06274068811
492	0.06257845814
493	0.06246953576
494	0.06233926323
495	0.06232704956
496	0.06217300247
497	0.06205654475
498	0.06200821309
499	0.06198257219
