Time,Team,Player ID,Position X,Position Y,Ball Speed,Pass Detected
1743760749.3697767,Team 1,1,916,408,0,No Pass
1743760749.3697767,Team 1,2,102,326,0,No Pass
1743760749.3697767,Team 1,3,1201,438,0,No Pass
1743760749.3697767,Team 1,4,713,506,0,No Pass
1743760749.3697767,Team 1,5,380,545,0,No Pass
1743760749.3697767,Team 2,6,525,287,0,No Pass
1743760749.3697767,Team 2,7,862,344,0,No Pass
1743760749.3697767,Team 1,8,663,302,0,No Pass
1743760749.3697767,Team 1,9,435,208,0,No Pass
1743760749.3697767,Team 2,10,599,449,0,No Pass
1743760749.3697767,Team 2,11,666,473,0,No Pass
1743760749.3697767,Team 1,12,509,433,0,No Pass
1743760749.3697767,Team 1,13,1269,213,0,No Pass
1743760749.3697767,Team 2,14,905,317,0,No Pass
1743760749.3697767,Team 2,14,903,310,0,No Pass
1743760749.3697767,Team 1,15,692,137,0,No Pass
1743760749.3697767,Team 1,15,693,138,0,No Pass
1743760749.3697767,Team 2,16,316,441,0,No Pass
1743760749.538775,Team 1,1,916,408,0,No Pass
1743760749.538775,Team 1,1,927,407,0,No Pass
1743760749.538775,Team 1,2,102,326,0,No Pass
1743760749.538775,Team 1,2,100,325,0,No Pass
1743760749.538775,Team 1,3,1201,438,0,No Pass
1743760749.538775,Team 1,3,1211,438,0,No Pass
1743760749.538775,Team 1,4,713,506,0,No Pass
1743760749.538775,Team 1,4,722,509,0,No Pass
1743760749.538775,Team 1,5,380,545,0,No Pass
1743760749.538775,Team 1,5,378,544,0,No Pass
1743760749.538775,Team 2,6,525,287,0,No Pass
1743760749.538775,Team 2,6,520,285,0,No Pass
1743760749.538775,Team 2,6,511,285,0,No Pass
1743760749.538775,Team 2,7,862,344,0,No Pass
1743760749.538775,Team 2,7,879,343,0,No Pass
1743760749.538775,Team 2,7,903,316,0,No Pass
1743760749.538775,Team 2,7,876,339,0,No Pass
1743760749.538775,Team 2,7,906,326,0,No Pass
1743760749.538775,Team 1,8,663,302,0,No Pass
1743760749.538775,Team 1,8,679,309,0,No Pass
1743760749.538775,Team 1,9,435,208,0,No Pass
1743760749.538775,Team 1,9,441,209,0,No Pass
1743760749.538775,Team 2,10,599,449,0,No Pass
1743760749.538775,Team 2,10,593,451,0,No Pass
1743760749.538775,Team 2,11,666,473,0,No Pass
1743760749.538775,Team 2,11,668,475,0,No Pass
1743760749.538775,Team 1,12,509,433,0,No Pass
1743760749.538775,Team 1,12,512,433,0,No Pass
1743760749.538775,Team 1,13,1269,213,0,No Pass
1743760749.538775,Team 2,14,905,317,0,No Pass
