Time,Team,Player ID,Position X,Position Y,Ball Speed,Pass Detected,Player Movement,Player Zone,Timestamp
2025-04-04 09:59:09.538774967,Team 2,14,905,317,0.0,No Pass,378.565714242587,Zone 3-2,1743760749
2025-04-04 09:59:09.538774967,Team 2,14,903,310,0.0,No Pass,7.280109889280518,Zone 3-2,1743760749
2025-04-04 09:59:09.538774967,Team 1,15,692,137,0.0,No Pass,272.8552729928451,Zone 3-1,1743760749
2025-04-04 09:59:09.538774967,Team 1,15,693,138,0.0,No Pass,1.4142135623730951,Zone 3-1,1743760749
2025-04-04 09:59:09.538774967,Team 1,15,699,136,0.0,No Pass,6.324555320336759,Zone 3-1,1743760749
2025-04-04 09:59:09.538774967,Team 1,15,696,139,0.0,No Pass,4.242640687119285,Zone 3-1,1743760749
2025-04-04 09:59:09.538774967,Team 2,16,316,441,0.0,No Pass,485.3905643911921,Zone 1-3,1743760749
2025-04-04 09:59:09.538774967,Team 2,16,306,452,0.0,No Pass,14.866068747318506,Zone 1-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,1,916,408,0.0,No Pass,611.5848264958836,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,1,927,407,0.0,No Pass,11.045361017187261,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,1,943,413,0.0,No Pass,17.08800749063506,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,2,102,326,0.0,No Pass,845.4880247525685,Zone 1-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,2,100,325,0.0,No Pass,2.23606797749979,Zone 1-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,2,90,324,0.0,No Pass,10.04987562112089,Zone 1-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,3,1201,438,0.0,No Pass,1116.8334701288281,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,3,1211,438,0.0,No Pass,10.0,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,3,1227,438,0.0,No Pass,16.0,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,4,713,506,0.0,No Pass,518.4785434326092,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,4,722,509,0.0,No Pass,9.486832980505138,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,4,733,517,0.0,No Pass,13.601470508735444,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,5,380,545,0.0,No Pass,354.1087403609236,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,5,378,544,0.0,No Pass,2.23606797749979,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,5,370,540,0.0,No Pass,8.94427190999916,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,6,525,287,0.0,No Pass,296.7052409378709,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,6,520,285,0.0,No Pass,5.385164807134504,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,6,511,285,0.0,No Pass,9.0,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,6,506,286,0.0,No Pass,5.0990195135927845,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,862,344,0.0,No Pass,360.69377593742865,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,879,343,0.0,No Pass,17.029386365926403,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,903,316,0.0,No Pass,36.124783736376884,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,876,339,0.0,No Pass,35.4682957019364,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,906,326,0.0,No Pass,32.69556544854363,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,7,900,334,0.0,No Pass,10.0,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,8,663,302,0.0,No Pass,239.1505801790997,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,8,679,309,0.0,No Pass,17.46424919657298,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,8,690,308,0.0,No Pass,11.045361017187261,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,9,435,208,0.0,No Pass,273.9069184960467,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,9,441,209,0.0,No Pass,6.082762530298219,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,9,448,210,0.0,No Pass,7.0710678118654755,Zone 2-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,10,599,449,0.0,No Pass,282.70479302622374,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,10,593,451,0.0,No Pass,6.324555320336759,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,10,599,456,0.0,No Pass,7.810249675906654,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,11,666,473,0.0,No Pass,69.12307863514182,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,11,668,475,0.0,No Pass,2.8284271247461903,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,11,672,485,0.0,No Pass,10.770329614269007,Zone 3-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,12,509,433,0.0,No Pass,171.09354166653983,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,12,512,433,0.0,No Pass,3.0,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,12,525,425,0.0,No Pass,15.264337522473747,Zone 2-3,1743760749
2025-04-04 09:59:09.711785555,Team 1,13,1269,213,0.0,No Pass,773.6148912734294,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,14,905,317,0.0,No Pass,378.565714242587,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 2,14,903,310,0.0,No Pass,7.280109889280518,Zone 3-2,1743760749
2025-04-04 09:59:09.711785555,Team 1,15,692,137,0.0,No Pass,272.8552729928451,Zone 3-1,1743760749
2025-04-04 09:59:09.711785555,Team 1,15,693,138,0.0,No Pass,1.4142135623730951,Zone 3-1,1743760749
2025-04-04 09:59:09.711785555,Team 1,15,699,136,0.0,No Pass,6.324555320336759,Zone 3-1,1743760749
2025-04-04 09:59:09.711785555,Team 1,15,696,139,0.0,No Pass,4.242640687119285,Zone 3-1,1743760749
2025-04-04 09:59:09.711785555,Team 1,15,706,137,0.0,No Pass,10.198039027185569,Zone 3-1,1743760749
2025-04-04 09:59:09.711785555,Team 2,16,316,441,0.0,No Pass,494.48559129665244,Zone 1-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,16,306,452,0.0,No Pass,14.866068747318506,Zone 1-3,1743760749
2025-04-04 09:59:09.711785555,Team 2,16,287,459,0.0,No Pass,20.248456731316587,Zone 1-3,1743760749
2025-04-04 09:59:09.870779276,Team 1,1,916,408,0.0,No Pass,631.0641805711999,Zone 3-3,1743760749
